Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
915083;Ecologica Reserve Organic Shiraz Malbec 2019;La Riojana;0,75 l;Oct.48;13.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;La Rioja;2019;Famatina Valley;Reilu kauppa;Shiraz, Malbec, ;Täyteläinen, keskitanniininen, kirsikkainen, herukkainen, karhunvatukkahilloinen;pullo;metallinen kierrekapseli;13.0;5.Feb;4;;;;80.0;tilausvalikoima;7,79027E+12
906458;Fair & Square Red 2021 kartonkitölkki;La Riojana;1 l;Oct.89;Oct.89;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;La Rioja;2021;Famatina Valley;Reilu kauppa;Syrah, ;Keskitäyteläinen, keskitanniininen, karhunvatukkainen, mustaherukkainen, karpaloinen, kevyen yrttinen;kartonkitölkki;muovisuljin;13.0;5.Feb;3;;;;70.0;vakiovalikoima;7,35008E+12
951667;Raza Selection Malbec Shiraz Organic 2017;La Riojana;0,75 l;Dec.98;17.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;La Rioja;2017;Famatina Valley;Reilu kauppa;Malbec, Syrah, ;Täyteläinen, keskitanniininen, herukkainen, boysenmarjainen, taatelinen, neilikkainen;pullo;synteettinen korkki;13.0;4.Sep;7;;;;80.0;vakiovalikoima;7,79027E+12
489367;Achaval Ferrer Quimera 2010;Achaval Ferrer;0,75 l;49.94;66.59;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2010;IP Mendoza;;;Täyteläinen, keskitanniininen, tumman kirsikkainen, boysenmarjainen, kypsän karpaloinen, kevyen kaakaoinen, tamminen, lämmin;pullo;luonnonkorkki;14.0;6.May;1;;;;80.0;erikoiserä;7,79809E+12
440567;Alamos Malbec Organic 2021;Alamos;0,75 l;Nov.49;15.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2021;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, luumuinen, mustikkainen, karhunvatukkainen, kevyen kukkainen;pullo;metallinen kierrekapseli;13.May;5.Feb;2;;;;80.0;vakiovalikoima;7,79445E+12
939055;Altos Las Hormigas Clásico Malbec 2020;Altos Las Hormigas;0,75 l;17.98;23.97;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2020;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, aroniamarjainen;pullo;luonnonkorkki;13.May;5.May;2;;;;80.0;tilausvalikoima;7,79805E+12
936741;Altos Las Hormigas Terroir Luján de Cuyo 2017;Altos Las Hormigas;0,75 l;19.99;26.65;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2017;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, luumuinen, karhunvatukkainen, mausteinen;pullo;luonnonkorkki;13.May;4.Jul;2;;;;80.0;tilausvalikoima;7,79805E+12
945913;Altos Las Hormigas Terroir Malbec 2018;Altos Las Hormigas;0,75 l;21.99;29.32;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2018;Uco Valley, Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, luumuinen, mausteinen, nahkainen;pullo;luonnonkorkki;13.May;5.May;2;;;;80.0;tilausvalikoima;7,79805E+12
921767;Argento Organic Malbec Reserva 2015;Bodega Argento;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2015;Uco Valley;;Malbec, ;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mansikkahilloinen, karpaloinen, yrttinen, mausteinen;pullo;luonnonkorkki;14.0;4.Sep;;;;;80.0;vakiovalikoima;7,79813E+12
941387;Argento Reserva Cabernet Franc 2014;Bodega Argento;0,75 l;14.99;19.99;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2014;Mendoza;;Cabernet Franc, ;Täyteläinen, keskitanniininen, mustaherukkainen, vadelmainen, pippurinen;pullo;luonnonkorkki;14.0;5.Jan;4;;;;80.0;tilausvalikoima;7,79813E+12
451687;Argento Seleccion Malbec 2018;Argento Wine Company;0,75 l;Oct.48;13.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, metsämansikkainen, kevyen mausteinen;pullo;metallinen kierrekapseli;13.May;5.Jan;3;;;;80.0;vakiovalikoima;7,79816E+12
924067;Beefsteak Club Malbec 2021;E. I. Wines;0,75 l;Dec.49;16.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2021;;;Malbec, ;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen;pullo;metallinen kierrekapseli;13.May;5.Feb;3;;;;80.0;tilausvalikoima;5,01193E+12
903027;Beefsteak Club Reserve Malbec 2020;Andean Vineyards;0,75 l;25.98;34.64;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2020;Uco Valley;;Malbec, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, mausteinen, vaniljainen;pullo;luonnonkorkki;14.May;5.Jan;3;;;;80.0;tilausvalikoima;5,01193E+12
956585;Beefsteak Club The Mini Malbec 2021;E I Wines;0,187 l;Mar.98;21.28;;110;punaviinit;Mehevä & Hilloinen;vegaaninen;;Argentiina;Mendoza;2021;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, mustaherukkainen, karpaloinen, kevyen karhunvatukkainen, hennon mustapippurinen;pullo;metallinen kierrekapseli;13.May;4.Sep;0;;;;80.0;vakiovalikoima;5,01193E+12
454597;BenMarco Expresivo 2020;Dominio del Plata;0,75 l;33.90;45.07;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2020;Valle de Uco;;Malbec, Cabernet Franc, Cabernet Sauvignon, ;Täyteläinen, tanniininen, herukkainen, viikunainen, boysenmarjainen, luumuinen, kevyen suklainen, tamminen;pullo;luonnonkorkki;14.May;5.Sep;;;;;80.0;vakiovalikoima;7,79807E+12
446837;BenMarco Malbec 2020;Dominio del Plata;0,75 l;21.50;28.53;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2020;Valle de Uco;;Malbec, ;Täyteläinen, tanniininen, mustaherukkainen, karhunvatukkainen, kevyen taatelinen, hennon kukkainen, tamminen, tasapainoinen, tyylikäs, pitkä;pullo;luonnonkorkki;14.May;5.May;3;;;;80.0;vakiovalikoima;7,79807E+12
954657;Bodega Piedra Negra Malbec Alta Coleccion 2021;Bodega Piedra Negra;0,75 l;14.49;19.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2021;Mendoza;;Malbec, ;Täyteläinen, tanniininen, marjainen, mausteinen;pullo;metallinen kierrekapseli;14.0;3.Feb;;;;;80.0;tilausvalikoima;3,48004E+12
935176;Bodega Vistalba Arido Malbec 2017;Bodega Vistalba;0,75 l;15.50;20.67;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2017;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, karhunvatukkahilloinen, kirsikkainen, nahkainen;pullo;metallinen kierrekapseli;14.May;4.Aug;2;;;;80.0;tilausvalikoima;7,79812E+12
4551;Caballo de Mendoza;Altia;0,75 l;Jul.99;Oct.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;;Mendoza;;Cabernet, Sangiovese, Malbec, ;Keskitäyteläinen, keskitanniininen, kevyen kirsikkainen, mansikkainen, mausteinen;pullo;metallinen kierrekapseli;14.0;4.Jul;;;;;80.0;vakiovalikoima;6,4127E+12
487307;Cameleon Organic Cabernet Sauvignon 2021;Domaine Bousquet;0,75 l;Nov.99;15.85;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2021;Tupungato;;Cabernet Sauvignon, ;Keskitäyteläinen, keskitanniininen, mustaherukkainen, hapankirsikkainen, karhunvatukkainen, yrttinen, paahteinen;pullo;metallinen kierrekapseli;14.0;5.Jan;0;;;;80.0;vakiovalikoima;7,7981E+12
931718;Caro 2015;Bodegas Caro;0,75 l;54.98;73.31;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2015;Mendoza;Saattaa sisältää sakkaa;Malbec, Cabernet Sauvignon, ;Täyteläinen, tanniininen, luumuinen, mokkainen, setrinen;pullo;luonnonkorkki;14.0;5.0;2;;;;80.0;tilausvalikoima;7,79812E+12
411547;Carrascal Cabernet Sauvignon Malbec Organic 2020;Bodega Y Cavas de Weinert;0,75 l;Dec.98;17.17;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2020;Mendoza;;Cabernet Sauvignon, Malbec, ;Täyteläinen, tanniininen, karhunvatukkainen, tumman kirsikkainen, mustaherukkainen, lakritsinen, mausteinen, kevyen tamminen;pullo;metallinen kierrekapseli;14.May;5.Feb;4;;;;80.0;vakiovalikoima;7,79042E+12
499467;Carrascal Syrah 2019;Bodega Y Cavas Weinert;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Mendoza;Saattaa sisältää sakkaa;Syrah, ;Täyteläinen, keskitanniininen, boysenmarjainen, luumuinen, kaakaoinen, kevyen neilikkainen, tamminen;pullo;luonnonkorkki;13.May;5.Apr;0;;;;80.0;vakiovalikoima;7,79042E+12
930018;Catena Alta Cabernet Sauvignon 2017;Catena Zapata;0,75 l;39.98;53.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;Mendoza;;Cabernet Sauvignon, ;Täyteläinen, tanniininen, boysenmarjainen, eukalyptuksinen, mustaherukkainen;pullo;luonnonkorkki;13.May;4.Sep;4;;;;80.0;tilausvalikoima;7,79445E+12
438717;Catena Cabernet Sauvignon 2015;Catena Zapata;0,75 l;18.99;25.19;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2015;Mendoza;;Cabernet Sauvignon, Cabernet Franc, Petit Verdot, ;Täyteläinen, tanniininen, hapankirsikkainen, herukkainen, kevyen lääkeyrttinen, hennon tamminen;pullo;luonnonkorkki;13.0;4.Jun;0;;;;70.0;vakiovalikoima;7,79445E+12
906487;Catena Malbec 2019;Bodega Catena Zapata;0,75 l;18.98;25.31;;110;punaviinit;Roteva & Voimakas;kestävän kehityksen sertifiointi;;Argentiina;Mendoza;2019;Mendoza;;Malbec, ;Täyteläinen, tanniininen, mokkainen, mausteinen, marjainen;pullo;luonnonkorkki;13.May;5.Mar;2;;;;80.0;tilausvalikoima;7,79445E+12
914694;Catena Nicasia Vineyard Malbec 2016;Catena Zapata;0,75 l;59.99;79.99;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2016;Uco Valley;;Malbec, ;Täyteläinen, tanniininen, mustaherukkainen, vaniljainen, luumuinen;pullo;luonnonkorkki;14.0;5.Mar;2;;;;80.0;tilausvalikoima;7,79445E+12
480037;Chakana Nuna Vineyard Cabernet Franc 2019;Proviva;0,75 l;14.98;19.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Luján de Cuyo;For Life;Cabernet Franc, ;Täyteläinen, tanniininen, tumman kirsikkainen, kypsän karhunvatukkainen, herukkainen, mustapippurinen, kaakaoinen, kevyen tamminen;pullo;luonnonkorkki;13.May;5.Jan;3;;;;80.0;vakiovalikoima;7,79811E+12
410098;Chill Out Malbec Organic Argentina 2021 muovipullo;Altia;1 l;13.99;13.59;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2021;Mendoza;Reilu kauppa;Malbec, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, karhunvatukkainen, luumuinen, kevyen mausteinen;muovipullo;muovisuljin;13.0;4.Jun;;;;;70.0;vakiovalikoima;6,4127E+12
923877;Comuna Malbec 2017;Bodega Argento;0,75 l;Sep.98;13.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, karhunvatukkainen, kirsikkainen, puolukkainen, mausteinen, hennon kukkainen;pullo;metallinen kierrekapseli;12.May;5.Feb;4;;;;70.0;vakiovalikoima;7,79813E+12
450517;Domaine Bousquet Reserve Organic Malbec 2020;Domaine Bousquet;0,75 l;16.49;21.85;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;Tupungato;;Malbec, ;Täyteläinen, tanniininen, tumman kirsikkainen, kypsän mustaherukkainen, pensasmustikkainen, neilikkainen, tamminen, lämmin;pullo;luonnonkorkki;14.May;5.Jun;2;;;;80.0;vakiovalikoima;7,7981E+12
466657;Domaine Bousquet Virgen Organic Malbec 2021;Domaine Bousquet;0,75 l;14.49;19.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2021;Tupungato Valley;Fair for Life. Ei lisättyä sulfiittia;Malbec, ;Täyteläinen, tanniininen, tumman kirsikkainen, herukkainen, kevyen karpaloinen, mausteinen;pullo;metallinen kierrekapseli;14.0;6.Feb;0;;;;80.0;vakiovalikoima;7,7981E+12
955194;Doña Paula Estate Malbec 2021;Viña Doña Paula;0,75 l;16.99;22.65;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2021;;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, aromikas, luumuinen, mustikkainen;pullo;luonnonkorkki;14.May;5.Mar;3;;;;80.0;tilausvalikoima;7,79809E+12
405507;Doña Paula Syrah 2016;Viña Doña Paula;0,75 l;Oct.99;14.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2016;Mendoza;Saattaa sisältää sakkaa;Syrah, ;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, luumuinen, mausteinen;pullo;metallinen kierrekapseli;13.May;4.Sep;;;;;80.0;vakiovalikoima;7,79809E+12
955287;Elsa Bianchi Malbec 2018;Valentin Bianchi;0,75 l;Nov.27;14.89;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, marjainen, mausteinen, aromikas;pullo;metallinen kierrekapseli;13.May;5.Apr;3;;;;80.0;tilausvalikoima;7,7907E+12
932237;Elsa Bianchi Syrah 2016;Valentin Bianchi;0,75 l;Nov.23;14.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2016;Mendoza;;Syrah, ;Keskitäyteläinen, keskitanniininen, marjainen, mausteinen;pullo;metallinen kierrekapseli;13.May;5.Jul;3;;;;80.0;tilausvalikoima;7,7907E+12
901277;Emma Zuccardi Bonarda 2018;Familia Zuccardi;0,75 l;31.98;42.64;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;Saattaa sisältää sakkaa;Bonarda, ;Täyteläinen, tanniininen, aromikas, mausteinen, kirsikkainen;pullo;luonnonkorkki;13.May;5.Jul;2;;;;80.0;tilausvalikoima;7,79173E+12
456707;Famiglia Bianchi Malbec 2020;Valentin Bianchi;0,75 l;13.49;17.85;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;San Rafael;;Malbec, ;Täyteläinen, tanniininen, herukkainen, tumman kirsikkainen, kevyen luumuinen, suklainen, hennon kukkainen;pullo;luonnonkorkki;15.0;5.0;0;;;;80.0;vakiovalikoima;7,7907E+12
6504;Finca Flichman Caballero de la Cepa Cabernet Sauvignon 2015;Finca Flichman;0,75 l;Sep.77;Dec.89;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2015;Mendoza;;Cabernet Sauvignon, ;Keskitäyteläinen, keskitanniininen, karpaloinen, tumman kirsikkainen, yrttinen, kevyen minttuinen, hennon havuinen;pullo;metallinen kierrekapseli;14.0;4.Jun;0;;;;80.0;vakiovalikoima;7,79047E+12
902403;Flechas de Los Andes Aguaribay 2019;Flechas de Los Andes;0,75 l;19.99;26.65;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2019;;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, tanniininen, mausteinen, karhunvatukkahilloinen;pullo;luonnonkorkki;14.0;5.Apr;6;;;;80.0;tilausvalikoima;7,79813E+12
930156;Flechas de Los Andes Gran Corte 2018;Flechas de Los Andes;0,75 l;39.98;53.31;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2018;;Saattaa sisältää sakkaa;Cabernet Franc, Malbec, Shiraz, Nascetta, ;Täyteläinen, tanniininen, mausteinen;pullo;luonnonkorkki;14.May;5.Mar;0;;;;80.0;tilausvalikoima;7,79813E+12
431787;Fuzion Organic Malbec 2019;Fuzion Wines;0,75 l;Sep.98;13.17;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2019;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, mustikkahilloinen, punaherukkainen, kevyen vadelmainen, hennon havuinen;pullo;metallinen kierrekapseli;13.May;5.0;;;;;80.0;vakiovalikoima;7,79173E+12
458667;Fuzion The Coffee Shop Red Blend 2020;La Agricola;0,75 l;Oct.99;14.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;Mendoza;Saattaa sisältää sakkaa;Malbec, Bonarda, ;Täyteläinen, keskitanniininen, karhunvatukkainen, mustaherukkainen, tumman kirsikkainen, mokkainen, vaniljainen, kevyen mausteinen;pullo;metallinen kierrekapseli;15.0;5.Jun;8;;;;90.0;vakiovalikoima;7,79173E+12
950851;Graffigna Centenario Malbec 2019;VSPT Argentina Wine Group;0,75 l;13.Sep;17.32;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2019;;;Malbec, ;Täyteläinen, keskitanniininen, luumuinen, mausteinen, tumman kirsikkainen;pullo;synteettinen korkki;13.May;5.Apr;3;;;;80.0;tilausvalikoima;7,79017E+12
462537;Gran Mascota Cabernet Sauvignon 2017;Mascota Vineyards;0,75 l;22.99;30.65;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2017;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, mustaherukkainen, boysenmarjainen, tumman luumuinen, kaakaoinen, tamminen, pitkä;pullo;luonnonkorkki;14.0;5.Aug;0;;;;80.0;vakiovalikoima;7,79076E+12
901163;José Zuccardi Malbec 2018;Familia Zuccardi;0,75 l;34.98;46.64;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2018;Valle de Uco;Sisältää sakkaa;Malbec, Cabernet Sauvignon, ;Täyteläinen, tanniininen, karhunvatukkainen, tumman kirsikkainen, mokkainen;pullo;luonnonkorkki;14.May;6.Jan;2;;;;80.0;tilausvalikoima;7,79173E+12
927447;Kaiken Cabernet Sauvignon 2019;Kaiken;0,75 l;Dec.90;17.Jul;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, mausteinen, yrttinen, tamminen;pullo;metallinen kierrekapseli;14.0;5.0;3;;;;80.0;tilausvalikoima;7,8043E+12
480007;Kaiken Estate Malbec 2020;Kaiken;0,75 l;Nov.89;15.72;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, mesimarjainen, kirsikkainen, mustikkainen, kevyen neilikkainen, hennon kukkainen;pullo;metallinen kierrekapseli;14.0;5.Mar;0;;;;80.0;vakiovalikoima;7,8043E+12
421677;Kaiken Obertura Cabernet Franc 2018;Kaiken;0,75 l;46.00;61.33;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2018;Mendoza;;Cabernet Franc, ;Täyteläinen, tanniininen, mustaherukkainen, kypsän karpaloinen, kevyen luumuinen, hennon suklainen, mausteinen, tamminen;pullo;luonnonkorkki;14.May;5.Apr;3;;;;80.0;erikoiserä;7,8043E+12
935847;Kaiken Ultra Malbec 2019;Kaiken;0,75 l;19.99;26.52;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2019;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, tanniininen, mustaherukkainen, kirsikkahilloinen, mustikkainen, karpaloinen, tamminen;pullo;luonnonkorkki;14.May;5.May;;;;;80.0;vakiovalikoima;7,8043E+12
495047;La Mascota Dark Bat Syrah 2020;La Mascota;0,75 l;Nov.99;15.85;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2020;Mendoza;;Syrah, ;Täyteläinen, keskitanniininen, herukkainen, boysenmarjainen, tumman luumuinen, kevyen kaakaoinen, mausteinen;pullo;metallinen kierrekapseli;13.May;5.Jan;2;;;;80.0;vakiovalikoima;7,79076E+12
949332;La Mascota Unanime Gran Vino Tinto 2017;La Mascota;0,75 l;24.99;33.32;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2017;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, Cabernet Franc, Malbec, ;Täyteläinen, tanniininen, mausteinen;pullo;luonnonkorkki;14.May;5.Mar;4;;;;80.0;tilausvalikoima;7,79076E+12
481297;Lorca Poético Cabernet Franc 2017;Bodega Foster Lorca;0,75 l;19.49;25.85;;110;punaviinit;Mehevä & Hilloinen;vegaaninen;;Argentiina;Mendoza;2017;Uco Valley;;Cabernet Franc, ;Täyteläinen, tanniininen, hapankirsikkainen, boysenmarjainen, luumuinen, hennon tummasuklainen, mausteinen, tamminen;pullo;luonnonkorkki;14.May;5.Feb;2;;;;80.0;vakiovalikoima;7,7981E+12
460107;Luigi Bosca Cabernet Franc  2015;Bodega Luigi Bosca;0,75 l;20.90;27.73;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2015;Luján de Cuyo;Saattaa sisältää sakkaa;Cabernet Franc, ;Täyteläinen, tanniininen, hapankirsikkainen, viikunainen, karpaloinen, herukkainen, yrttinen, tamminen;pullo;luonnonkorkki;14.0;5.Aug;;;;;80.0;vakiovalikoima;7,7912E+12
430377;Luigi Bosca Cabernet Sauvignon 2019;Luigi Bosca;0,75 l;18.90;25.Jul;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2019;Mendoza;Saattaa sisältää sakkaa;Cabernet Sauvignon, ;Täyteläinen, tanniininen, kypsän karpaloinen, hapankirsikkainen, kevyen viikunainen, hennon tallinen, tamminen;pullo;luonnonkorkki;14.0;5.Mar;0;;;;80.0;vakiovalikoima;7,7912E+12
466907;Luigi Bosca De Sangre Malbec 2020;Bodega Luigi Bosca;0,75 l;20.90;27.73;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;DOC Luján de Cuyo;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, keskitanniininen, karhunvatukkainen, herukkainen, tumman kirsikkainen, mausteinen, kevyen tamminen;pullo;luonnonkorkki;14.May;5.Feb;0;;;;80.0;vakiovalikoima;7,7912E+12
910867;Masi Tupungato Passo Doble 2020;Masi Tupungato;0,75 l;15.98;21.17;;110;punaviinit;Mehevä & Hilloinen;luomu;;Argentiina;Mendoza;2020;Valle de Uco;;Corvina, Malbec, ;Täyteläinen, keskitanniininen, marjainen, mausteinen;pullo;metallinen kierrekapseli;13.May;5.May;2;;;;80.0;tilausvalikoima;8,00206E+12
935515;Mendel Cabernet Franc 2020;Mendel Wines;0,75 l;29.98;39.97;uutuus;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2020;Valle de Uco;Saattaa sisältää sakkaa;Cabernet Franc, ;Täyteläinen, tanniininen, pippurinen, vadelmainen, kirsikkainen;pullo;luonnonkorkki;14.May;5.Sep;2;;;;80.0;tilausvalikoima;7,79813E+12
491857;Mendel Finca Remota Malbec 2020;Mendel Wines;0,75 l;83.00;110.67;uutuus;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2020;Valle de Uco;Saattaa sisältää sakkaa;;Täyteläinen, tanniininen, boysenmarjainen, kypsän karpaloinen, luumuinen, vadelmainen, tummasuklainen, kevyen orvokkinen, mausteinen, tamminen, pitkä;pullo;luonnonkorkki;14.May;4.Sep;3;;;;80.0;erikoiserä;7,79813E+12
437697;Mendel Finca los Andes Malbec 2020;Mendel Wines;0,75 l;109.00;145.33;uutuus;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;DOC Luján de Cuyo;Saattaa sisältää sakkaa;;Täyteläinen, tanniininen, kypsän karpaloinen, luumuinen, vadelmainen, kevyen nahkainen, hennon lyijykynäinen, valkopippurinen, tamminen;pullo;luonnonkorkki;14.May;5.Jan;4;;;;80.0;erikoiserä;7,79813E+12
944952;Mendel Malbec 2020;Mendel Wines;0,75 l;29.98;39.97;uutuus;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2020;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Täyteläinen, tanniininen, luumuinen, kirsikkainen, vaniljainen;pullo;luonnonkorkki;14.May;5.Feb;3;;;;80.0;tilausvalikoima;7,79813E+12
493987;Mendel Unus 2020;Mendel Wines;0,75 l;46.89;62.52;uutuus;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;Mendoza;Saattaa sisältää sakkaa;;Täyteläinen, tanniininen, kypsän kirsikkainen, karpaloinen, vadelmainen, mustikkainen, kevyen lakritsinen, mausteinen, tamminen;pullo;luonnonkorkki;14.May;5.May;2;;;;80.0;erikoiserä;7,79813E+12
939907;Milamore 2019;Renacer;0,75 l;24.99;33.19;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Mendoza;;Malbec, Cabernet Sauvignon, Bonarda, Cabernet Franc, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, mansikkainen, mustaherukkainen, luumuhilloinen, mausteinen;pullo;luonnonkorkki;13.May;5.Feb;8;;;;80.0;vakiovalikoima;98709085640
910697;Navarro Correas Colección Privada Malbec 2020;Bodega Navarro Correas;0,75 l;14.53;19.24;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;Mendoza;;Malbec, ;Keskitäyteläinen, keskitanniininen, tumman kirsikkainen, boysenmarjainen, kevyen minttuinen, hennon paahteinen;pullo;luonnonkorkki;13.May;4.Sep;3;;;;80.0;vakiovalikoima;7,79125E+12
958203;Navarro Correas Reserve Cabernet Sauvignon 2020;Navarro Correas;0,75 l;16.99;22.52;uutuus;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2020;Mendoza;;Cabernet Sauvignon, ;Täyteläinen, tanniininen, tumman kirsikkainen, mustaherukkainen, tamminen;pullo;luonnonkorkki;14.0;5.Jul;3;;;;80.0;tilausvalikoima;7,79065E+12
955777;Navarro Correas Reserve Malbec 2020;Bodega Navarro Correas;0,75 l;17.39;23.May;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;;;Malbec, ;Täyteläinen, tanniininen, kirsikkainen, luumuinen, pippurinen;pullo;luonnonkorkki;14.May;5.Apr;3;;;;80.0;tilausvalikoima;7,79065E+12
