Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
927641;Chateau de Montifaud Napoléon Ariane;Famille Vallet Sarl Chateau Montifaud;0,7 l;130.83;186.9;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;Petit Champagne;;;Ruskeanpunainen, täyteläinen, melko iäkäs, pehmeä, luumuinen, vaniljainen, kukkainen;pullo;luonnonkorkki;40.0;;15;;;;230.0;tilausvalikoima;3,55014E+12
957998;Chateau de Montifaud Napoléon Ariane;Famille Vallet Sarl Chateau Montifaud;1,5 l;298.15;198.77;;432;konjakit;Muut-Konjakit;;;Ranska;Cognac;;;;;Kastanjanruskea, keskitäyteläinen, nuorehko, lämmin, vaniljainen, luumuinen, kuivahedelmäinen;pullo;luonnonkorkki;40.0;;15;;;;230.0;tilausvalikoima;3,55014E+12
935081;Chateau de Montifaud Reserve Special Little Millenium;Famille Vallet Sarl Chateau Montifaud;0,2 l;40.21;201.05;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;Petit Champagne;;;Ruskeanpunainen, täyteläinen, melko iäkäs, pehmeä, vaniljainen, aprikoosinen, luumuinen;pullo;luonnonkorkki;40.0;;16;;;;230.0;tilausvalikoima;3,55014E+12
931312;Chateau de Montifaud Reserve Speciale Catherine Vallet;Chateau Montifaud;0,5 l;60.61;121.22;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;AC Cognac Petite Champagne;;;Meripihkankeltainen, keskitäyteläinen, nuorehko, lämmin, kuivatun aprikoosinen, omenainen, mausteinen, tamminen;pullo;luonnonkorkki;40.0;;16;;;;230.0;vakiovalikoima;3,55014E+12
934843;Château Montifaud Petite Champagne XO;Château Montifaud;0,7 l;180.90;258.43;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;XO;;;Punaruskea, täyteläinen, iäkäs, pehmeä, mausteinen, kukkainen, kuivahedelmäinen;pullo;luonnonkorkki;40.0;;15;;;;230.0;tilausvalikoima;3,55014E+12
930028;Château Montifaud Reserve Speciale Michel Vallet;Château Montifaud;0,7 l;90.89;129.84;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;;;;Punaruskea, keskitäyteläinen, nuorehko, pehmeä, kukkainen, aprikoosinen, luumuinen;pullo;luonnonkorkki;40.0;;15;;;;230.0;tilausvalikoima;3,55014E+12
922208;Château de Montifaud Héritage Louis Vallet L50;Château Montifaud;0,7 l;946.87;1352.67;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;AC Cognac Petite Champagne;;;Punaruskea, täyteläinen, iäkäs, pehmeä, pähkinäinen, mausteinen, sikarilaatikkoinen;pullo;luonnonkorkki;40.0;;15;;;;230.0;tilausvalikoima;3,55014E+12
926421;Château de Montifaud Premium L10 VSOP;Château Montifaud;0,7 l;80.81;115.44;;432;konjakit;VSOP-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Punaruskea, keskitäyteläinen, melko iäkäs, pehmeä, hedelmäinen, kukkainen;pullo;luonnonkorkki;40.0;;15;;;;230.0;tilausvalikoima;3,55014E+12
154646;Claude Chatelier VSOP;Ferrand;0,5 l;33.99;67.98;;432;konjakit;VSOP-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Kullanruskea, keskitäyteläinen, melko iäkäs, terävä, aprikoosinen, kevyen kaakaoinen, tamminen;pullo;luonnonkorkki;40.0;;12;;;;230.0;vakiovalikoima;3,46041E+12
170396;Claude Chatelier XO;Ferrand;0,5 l;39.99;79.98;;432;konjakit;XO-Konjakit;;;Ranska;Cognac;;AC Cognac;;;Mahonginruskea, täyteläinen, melko iäkäs, pehmeä, hedelmäinen, kypsän luumuinen, mausteinen, tamminen;pullo;luonnonkorkki;40.0;;11;;;;230.0;vakiovalikoima;3,46041E+12
